latitude,longitude,visibility,timestamp
18.52045,73.85675,0.241,2026-03-01 15:49:33.839491
18.52047,73.85677,0.272,2026-03-01 15:49:35.233534
18.52048,73.85678,0.25,2026-03-01 15:49:35.948790
18.52045,73.85675,0.241,2026-03-01 15:56:11.434294
18.52047,73.85677,0.272,2026-03-01 15:56:14.620192
18.52048,73.85678,0.25,2026-03-01 15:56:16.376827
18.52045,73.85675,0.241,2026-03-03 10:53:54.765319
18.52047,73.85677,0.272,2026-03-03 10:53:57.978319
18.52048,73.85678,0.25,2026-03-03 10:53:59.533163
17.381808,78.490084,0.241,2026-03-03 15:29:45.946263
19.081033,72.878446,0.272,2026-03-03 15:29:48.496774
28.696483,77.103435,0.25,2026-03-03 15:29:49.763582
17.381808,78.490084,0.223,2026-03-03 21:51:47.100803
19.081033,72.878446,0.29,2026-03-03 21:51:51.041066
28.696483,77.103435,0.281,2026-03-03 21:51:53.004314
13.088647,80.275405,0.295,2026-03-03 21:51:56.901091
17.381808,78.490084,0.223,2026-03-04 14:47:10.112480
19.081033,72.878446,0.29,2026-03-04 14:47:13.062021
28.696483,77.103435,0.281,2026-03-04 14:47:14.549306
13.088647,80.275405,0.295,2026-03-04 14:47:17.475214
17.386248,78.491545,0.223,2026-03-06 21:54:58.502849
19.08495,72.88327,0.29,2026-03-06 21:55:04.938430
28.697462,77.105671,0.281,2026-03-06 21:55:07.775114
13.07277,80.279985,0.295,2026-03-06 21:55:13.209081
17.386248,78.491545,0.223,2026-03-06 21:56:13.283600
19.08495,72.88327,0.29,2026-03-06 21:56:17.226517
28.697462,77.105671,0.281,2026-03-06 21:56:19.181787
13.07277,80.279985,0.295,2026-03-06 21:56:22.953503
17.386248,78.491545,0.25,2026-03-07 06:23:57.981632
28.697462,77.105671,0.295,2026-03-07 06:24:03.354026
19.075753,72.885151,0.406,2026-03-07 06:27:25.774903
28.694322,77.103963,0.402,2026-03-07 06:27:27.496626
17.386248,78.491545,0.25,2026-03-07 06:27:32.650652
18.522233,73.847082,0.388,2026-03-07 06:27:34.401556
19.08495,72.88327,0.304,2026-03-07 06:27:36.175704
28.697462,77.105671,0.295,2026-03-07 06:27:37.977242
12.964932,77.590626,0.464,2026-03-07 06:27:39.673380
13.07277,80.279985,0.366,2026-03-07 06:27:41.366796
19.075753,72.885151,0.406,2026-03-09 11:43:19.952236
28.694322,77.103963,0.402,2026-03-09 11:43:21.892588
17.386248,78.491545,0.25,2026-03-09 11:43:28.475976
18.522233,73.847082,0.388,2026-03-09 11:43:30.529687
19.08495,72.88327,0.304,2026-03-09 11:43:32.596445
28.697462,77.105671,0.295,2026-03-09 11:43:34.651991
12.964932,77.590626,0.464,2026-03-09 11:43:36.779924
13.07277,80.279985,0.366,2026-03-09 11:43:38.838511
